NOME_PRODUTO,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO
ACICLOMAX,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),CLORIDRATO DE VALACICLOVIR
ACICLOMED,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),ACICLOVIR
ACICLOR,ANTIVIROTICOS,ACICLOVIR
ACICLOR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),ACICLOVIR
ACICLOVIR,ANTIVIROTICOS,
ACICLOVIR,ANTIVIROTICOS,ACICLOVIR
ACICLOVIR,ANTIVIROTICOS,ACICLOVIR +  ACICLOVIR SÓDICO
ACICLOVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),ACICLOVIR
ACIDO ACETILSALICILICO,ANALGESICOS NAO NARCOTICOS,ÁCIDO ACETILSALICÍLICO
ACIDO MEFENAMICO,ANTINFLAMATORIOS ANTIREUMATICOS,ÁCIDO MEFENÂMICO
ACIDO TRANEXAMICO,ANTIFIBRINOLITICOS,ÁCIDO TRANEXÂMICO
ACIDO ZOLEDRONICO,SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO MONOIDRATADO
ACIVIRAX,ANTIVIROTICOS,ACICLOVIR
ACLAF,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,AMOXICILINA TRI-HIDRATADA +  CLAVULANATO DE POTÁSSIO
ACLASTA,SUPRESSORES DA REABSORCAO OSSEA,ÁCIDO ZOLEDRÔNICO MONOIDRATADO
ACNASE,PRODUTOS ANTI-ACNE,ENXOFRE +  PERÓXIDO DE BENZOÍLA
ACNIL,PRODUTOS ANTI-ACNE,ISOTRETINOÍNA
ACNOVA,PRODUTOS ANTI-ACNE,ISOTRETINOÍNA
ACOG,,RIVAROXABANA
ACTIFEDRIN,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE PSEUDOEFEDRINA +  CLORIDRATO DE TRIPROLIDINA
ACTILYSE,ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE,ALTEPLASE
ACTIVE PLUS,,SENNA ALEXANDRINA MILL.
ACTONEL,SUPRESSORES DA REABSORCAO OSSEA,RISEDRONATO SÓDICO
ACU FRESH,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CARMELOSE SÓDICA
ACU FRESH G,EMOLIENTES E PROTETORES OFTALMICOS,CARMELOSE SÓDICA +  GLICEROL
ACULAR,ANTINFLAMATORIOS,TROMETAMOL CETOROLACO 
AD FURP,EMOLIENTES E PROTETORES DA PELE E MUCOSAS,COLECALCIFEROL +  PALMITATO DE RETINOL +  ÓXIDO DE ZINCO
AD-MUC,ANTINFLAMATORIOS + FITOTERAPICO SIMPLES,MATRICARIA RECUTITA L.
AD-TIL,POLIVITAMINICOS SEM MINERAIS,ACETATO DE RETINOL +  COLECALCIFEROL
AD-VITAM,POLIVITAMINICOS SEM MINERAIS,ACETATO DE RETINOL +  COLECALCIFEROL
ADACEL,VACINAS,AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3 +  HEMAGLUTININA FILAMENTOSA +  PERTACTINA +  TOXÓIDE TETÂNICO +  TOXÓIDE DIFTÉRICO +  TOXÓIDE PERTUSSIS
ADACNE,PRODUTOS ANTI-ACNE,ADAPALENO
ADACNE CLIN,PRODUTOS ANTI-ACNE,ADAPALENO +  FOSFATO DE CLINDAMICINA
ADALAT,ANTIANGINOSOS E VASODILATADORES,NIFEDIPINO
ADAPALENO,PRODUTOS ANTI-ACNE,ADAPALENO
ADAPTIS GEL,OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL,CARBÔMER 940
ADCETRIS,ANTINEOPLASICO,BRENTUXIMABE VEDOTINA
ADDAVEN,NUTRIENTES PARENTERAIS,CLORETO CRÔMICO HEXAIDRATADO +  CLORETO CÚPRICO +  CLORETO DE ZINCO +  CLORETO FÉRRICO +  FLUORETO DE SÓDIO +  IODETO DE POTÁSSIO +  SELENITO DE SÓDIO +  DICLORETO DE MANGANÊS TETRAIDRATADO +  MOLIBDATO DE SÓDIO DIIDRATADO
ADDERA D3,ANALOGO SINTETICO DA VITAMINA D,COLECALCIFEROL
ADEFORTE,POLIVITAMINICOS SEM MINERAIS,ACETATO DE RACEALFATOCOFEROL +  COLECALCIFEROL +  PALMITATO DE RETINOL
ADENOCARD,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,ADENOSINA
ADENON,MEDICAMENTOS DINAMIZADOS COMPOSTOS,BARYTA CARBONICA +  BERBERIS VULGARIS L. +  CALCAREA CARBONICA +  MERCURIUS SULPHURATUS RUBER
ADENOSINA,OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO,ADENOSINA
ADILOZ,ANTIBIOTICOS SISTEMICOS SIMPLES,LINEZOLIDA
ADINOS,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,DESONIDA
ADINOS GEN,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA,DESONIDA +  SULFATO DE GENTAMICINA
ADIPEPT,ANTIACIDOS E ANTIULCEROSOS,PANTOPRAZOL
ADLYV,ANALGESICOS NAO NARCOTICOS,IBUPROFENO
ADMELOG,ANTIDIABETICOS,INSULINA LISPRO
ADOLESS,ANTICONCEPCIONAIS,ETINILESTRADIOL +  GESTODENO
ADORLAN,ANALGESICOS NARCOTICOS,CLORIDRATO DE TRAMADOL +  DICLOFENACO SÓDICO
ADREN,MEDICAMENTOS C/ ACAO NO MIOCARDIO,EPINEFRINA
ADVANTAN,GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.,ACEPONATO DE METILPREDNISOLONA
ADVATE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAOCTOCOGUE
ADVIL,ANALGESICOS NAO NARCOTICOS,IBUPROFENO
ADYNOVATE,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFARURIOCTOCOGUE PEGOL
AERODINI,BRONCODILATADORES,SULFATO DE SALBUTAMOL
AERODIVENT,BRONCODILATADORES,BROMETO DE IPRATRÓPIO
AEROFRIN,BRONCODILATADORES,SULFATO DE SALBUTAMOL MICRONIZADO
AEROLIN,BRONCODILATADORES,SOLUCAO DE SALBUTAMOL +  SULFATO DE SALBUTAMOL
AEROTRAT,BRONCODILATADORES,SULFATO DE SALBUTAMOL
AFINITOR,ANTINEOPLASICO,EVEROLIMO
AFOLIC,ANTIANEMICOS SIMPLES,ÁCIDO FÓLICO
AFOLIC INFANTIL,ANTIANEMICOS SIMPLES,ÁCIDO FÓLICO
AFOPIC,ANTIANEMICOS,ÁCIDO FÓLICO
AFRAT,SUPRESSORES DA REABSORCAO OSSEA,IBANDRONATO DE SÓDIO
AFREZZA,ANTIDIABETICOS,INSULINA HUMANA
AFRIN,DESCONGESTIONANTES NASAIS TOPICOS,CLORIDRATO DE OXIMETAZOLINA
AFSTYLA,OUTROS PRODUTOS ANTI-HEMORRAGICOS,ALFALONOCTOCOGUE
AFTINE,PRODUTOS PARA OROFARINGE,CLORIDRATO DE PROCAÍNA +  MENTOL +  SULFATO DE NEOMICINA +  TARTARATO DE BISMUTO E SÓDIO
AGAROL,LAXANTES IRRITANTES OU ESTIMULANTES,AGAR-AGAR +  PICOSSULFATO DE SÓDIO +  ÓLEO MINERAL LEVE
AGIOLAX,LAXANTES INCREMENTADORES DO BOLO INTESTINAL,PLANTAGO OVATA FORSSK. +  SENNA ALEXANDRINA MILL.
AGLITIL,ANTIDIABETICOS,CLORIDRATO DE PIOGLITAZONA
AGLUCOSE,ANTIDIABETICOS,ACARBOSE
AGOXOM,ANTIDEPRESSIVOS,AGOMELATINA
AGRASTAT,ANTIAGREGANTE PLAQUETARIO,CLORIDRATO DE TIROFIBANA
AGRYLIN,OUTROS AGENTES ANTINEOPLÁSICOS,CLORIDRATO DE ANAGRELIDA
AGUA INGLESA CATARINENSE,FITOTERAPICO COMPOSTO,CINCHONA CALISAYA WEDD.
AGUA PARA INJETAVEIS,DILUENTES E VEICULOS DE MEDICAMENTOS,ÁGUA PARA INJETÁVEIS
AGUA PARA INJEÇAO,DILUENTES E VEICULOS DE MEDICAMENTOS,ÁGUA PARA INJEÇÃO
AGUA PARA INJEÇÃO,DILUENTES E VEICULOS DE MEDICAMENTOS,ÁGUA ESTÉRIL PARA INJEÇÃO +  ÁGUA PARA INJEÇÃO
AGUD,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL
AH-ZUL,VASODILATADORES,CITRATO DE SILDENAFILA
AILUK,ANTIASMATICOS,DIPROPIONATO DE BECLOMETASONA
AIPRI,ANTIPSICOTICOS,ARIPIPRAZOL
AIRES,EXPECTORANTES BALSAMICOS E MUCOLITICO,ACETILCISTEÍNA
AIXA,ANTICONCEPCIONAIS,ACETATO DE CLORMADINONA +  ETINILESTRADIOL
AJOVY,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,FREMANEZUMABE
AKALMESE,ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES,PASSIFLORA INCARNATA L.
AKSSUS,ANTINEOPLASICO,PACLITAXEL
AKYNZEO,ANTIEMÉTICOS E ANTINAUSEANTES,CLORIDRATO DE PALONOSETRONA +  NETUPITANTO
ALANDRE,PROGESTAGENOS SIMPLES,DIENOGESTE
ALBEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL
ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL
ALBENDAZOL,ALBENDAZOL + ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL
ALBENDAZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,
ALBENDAZOL 40 MG/ML SUSPENSÃO ORAL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL
ALBENTEL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL
ALBISTIN,ANTIMICOTICO,NISTATINA
ALBOCRESIL,PRODUTOS GINECOLOGICOS ANTINFECCIOSOS TOPICOS SIMPLES,POLICRESULENO +  POLICRESULENO A 36%
ALBUMAX,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALBUMINA HUMANA
ALBUMINA HUMANA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,
ALBUMINA HUMANA GRIFOLS,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALBUMINA HUMANA
ALBUMINA HUMANA HEMOBRÁS,"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO",ALBUMINA HUMANA
ALBUMINA SÉRICA HUMANA NORMAL,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,ALBUMINA HUMANA
ALBUNEX,PRODUTOS PARA DIAGNOSTICO POR IMAGEM,
ALCACHOFRA  HERBARIUM,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,CYNARA SCOLYMUS L.
ALCACHOFRA ASPEN PHARMA,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.
ALCACHOFRA MULTILAB,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.
ALCACHOFRA NATULAB,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,CYNARA SCOLYMUS L.
ALCACHOFRA VIDORA,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.
ALCACHOFRA VITAMED,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.
ALCACHOFRAX,COLAGOGOS E COLERETICOS,CYNARA SCOLYMUS L.
ALCAGEST,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,CYNARA SCOLYMUS L.
ALCAHERB,COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES,CYNARA SCOLYMUS L.
ALCYTAM,ANTIDEPRESSIVOS,BROMIDRATO DE CITALOPRAM
ALDACTONE,DIURETICOS,ESPIRONOLACTONA
ALDAZIDA,ANTI-HIPERTENSIVOS,ESPIRONOLACTONA +  HIDROCLOROTIAZIDA
ALDIJET,ANTICONCEPCIONAIS,ALGESTONA ACETOFENIDA +  ENANTATO DE ESTRADIOL
ALDOMET,ANTI-HIPERTENSIVOS SIMPLES,METILDOPA
ALDOSTERIN,ANTI-HIPERTENSIVOS,ESPIRINOLACTONA +  ESPIRONOLACTONA
ALDURAZYME,ENZIMA PARA REPOSIÇAO,LARONIDASE
ALEKTOS,ANTI-HISTAMINICOS SISTEMICOS,BILASTINA
ALEKTOS PED,ANTI-HISTAMINICOS SISTEMICOS,BILASTINA
ALENDIL,SUPRESSORES DA REABSORCAO OSSEA,ALENDRONATO SÓDICO TRIHIDRATADO
ALENDIL CÁLCIO D,VITAMINAS E SUPLEMENTOS MINERAIS,CARBONATO DE CÁLCIO +  COLECALCIFEROL +  ALENDRONATO DE SÓDIO TRI-HIDRATADO
ALENDRONATO DE SODIO,SUPRESSORES DA REABSORCAO OSSEA,ALENDRONATO DE SÓDIO
ALENDRONATO DE SODIO,SUPRESSORES DA REABSORCAO OSSEA,ALENDRONATO DE SÓDIO TRI-HIDRATADO
ALENDRONATO DE SÓDIO,SUPRESSORES DA REABSORCAO OSSEA,ALENDRONATO DE SÓDIO TRI-HIDRATADO
ALENTHUS XR,ANTIDEPRESSIVOS,CLORIDRATO DE VENLAFAXINA
ALERADINA,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA
ALERFIN,CORTICOSTEROIDES TOPICOS,DIPROPIONATO DE BECLOMETASONA
ALERGALIV,ANTIALERGICOS,LORATADINA
ALERGCORTEM,GLICOCORTICOIDES SISTEMICOS,PREDNISONA
ALERGIDEX,ANTI-HISTAMINICOS SISTEMICOS,BETAMETASONA +  MALEATO DE DEXCLORFENIRAMINA
ALERGOMINE,ANTIALERGICOS,MALEATO DE DEXCLORFENIRAMINA
ALEVO,ANTIBIOTICOS SISTEMICOS SIMPLES,LEVOFLOXACINO HEMIIDRATADO
ALFAEPOETINA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA
ALFAEPOETINA,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,ALFAEPOETINA +  ERITROPOETINA HUMANA RECOMBINANTE
ALFAESTRADIOL,ANTIALOPECIA,ALFAESTRADIOL
ALFAINTERFERONA 2B (RECOMBINANTE),IMUNOMODULADOR,ALFAINTERFERONA 2B
ALFAINTERFERONA 2b,OUTROS PRODUTOS COM ACAO IMUNOPROTETORA,ALFAINTERFERONA 2B
ALFAST,ANALGESICOS NARCOTICOS,CLORIDRATO DE ALFENTANILA MONOIDRATADA
ALFRON,ANSIOLITICOS SIMPLES,ALPRAZOLAM
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL,ANTICONCEPCIONAIS,ALGESTONA ACETOFENIDA +  ENANTATO DE ESTRADIOL
ALGEXIN COMPOSTO,ANTIESPASMODICOS,BUTIL BROMETO DE ESCOPOLAMINA +  DIPIRONA MONOIDRATADA
ALGICOD,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL
ALGIE,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,CETOPROFENO
ALGILIVE,ANTINFLAMATORIOS ANTIREUMATICOS,LISINATO DE CETOPROFENO
ALGOYECT,ANTINFLAMATORIOS,CETOPROFENO
ALGY-FLANDERIL,ANTINFLAMATORIOS ANTIREUMATICOS,IBUPROFENO
ALICURA,ANALGESICOS NAO NARCOTICOS,CAFEÍNA +  ÁCIDO ACETILSALICÍLICO
ALIMAX,ANTICOAGULANTES + ANTINFLAMATORIOS,HEPARINA SÓDICA SUÍNA
ALIMTA,ANTINEOPLASICO,PEMETREXEDE
ALIVBABY,ANTIMICOTICOS PARA USO TOPICO,NISTATINA +  ÓXIDO DE ZINCO
ALIVDIP,ANALGESICOS NAO NARCOTICOS,DIPIRONA
ALIVIOL,RUBEFACIENTES,CÂNFORA +  MENTOL +  SALICILATO DE METILA
ALIVIUM,ANALGESICOS NAO NARCOTICOS,IBUPROFENO
ALIVPRESS,ANTI-HIPERTENSIVOS SIMPLES,BESILATO DE ANLODIPINO
ALKERAN,ANTINEOPLASICOS CITOTOXICOS,MELFALANA
ALLEGRA,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE FEXOFENADINA
ALLEGRA D,DESCONGESTIONANTES NASAIS SISTEMICOS,CLORIDRATO DE FEXOFENADINA +  CLORIDRATO DE PSEUDOEFEDRINA
ALLENASAL,GLICOCORTICOIDES SISTEMICOS,ACETONIDA DE TRIANCINOLONA
ALLEP,ANTI-HISTAMINICOS SISTEMICOS,BILASTINA
ALLEP PEDIÁTRICO,ANTI-HISTAMINICOS SISTEMICOS,BILASTINA
ALLESTRA,ANTICONCEPCIONAIS,ETINILESTRADIOL +  GESTODENO
ALLEXOFEDRIN,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE FEXOFENADINA
ALLEXOFEDRIN D,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE FEXOFENADINA +  CLORIDRATO DE PSEUDOEFEDRINA
ALLEXOFEDRIN PEDIÁTRICO,ANTI-HISTAMÍNICOS PARA USO SISTÊMICO,CLORIDRATO DE FEXOFENADINA
ALLOVITA,ANTIALOPECIA,MINOXIDIL
ALLUNY,PROGESTAGENOS SIMPLES,DIENOGESTE
ALLURENE,PROGESTAGENOS SIMPLES,DIENOGESTE
ALOFF,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA
ALOFF XPE,ANTI-HISTAMINICOS SISTEMICOS,DESLORATADINA
ALOIS,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE MEMANTINA
ALOIS DUO,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE DONEPEZILA +  CLORIDRATO DE DONEPEZILA MONOIDRATADO +  CLORIDRATO DE MEMANTINA
ALOND,ANTICONVULSIVANTES,PREGABALINA
ALOPURINOL,ANTIGOTOSOS,ALOPURINOL
ALOXIDIL,ANTIALOPECIA,MINOXIDIL
ALOZEX,ANTIALOPECIA,ALFAESTRADIOL
ALPES,ANTIDEPRESSIVOS,CLORIDRATO DE BUPROPIONA
ALPES XL,ANTIDEPRESSIVOS,CLORIDRATO DE BUPROPIONA
ALPHABRIN,ANTIGLAUCOMATOSOS,TARTARATO DE BRIMONIDINA
ALPHACAINE,ANESTESICOS LOCAIS,CLORIDRATO DE LIDOCAINA +  EPINEFRINA
ALPHAGAN,ANTIGLAUCOMATOSOS,TARTARATO DE BRIMONIDINA
ALPHALIV,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.
ALPHANATE,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,FATOR VIII DE COAGULAÇÃO +  FATOR DE VON WILLEBRAND
ALPHANINE,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,FATOR IX DE COAGULAÇÃO
ALPHANINE SD,OUTROS DERIVADOS DO SANGUE E SUBSTITUTOS,
ALPRAZOLAM,ANSIOLITICOS SIMPLES,ALPRAZOLAM
ALPROXY,VASODILATADORES,ALPROSTADIL
ALTAD,VITAMINAS,COLECALCIFEROL
ALTAD CAPS,VITAMINA D E ANÁLOGOS,COLECALCIFEROL
ALTIVA,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE FEXOFENADINA
ALTRYXEN,ANTINEOPLASICOS CITOTOXICOS,DECITABINA
ALTVEN,ANTIDEPRESSIVOS,CLORIDRATO DE VENLAFAXINA
ALURAX,PROGESTAGENOS SIMPLES,DIENOGESTE
ALZ,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,CLORIDRATO DE MEMANTINA
ALZYNAMIN,OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO,BROMIDRATO DE GALANTAMINA
AMAGLYN,ANTIDIABETICOS,GLIMEPIRIDA
AMALFI,PRODUTOS ANTI-ACNE,ISOTRETINOÍNA
AMARYL,ANTIDIABETICOS,GLIMEPIRIDA
AMATO,ANTICONVULSIVANTES,TOPIRAMATO
AMBISOME,ANTI-FUNGICOS,ANFOTERICINA B
AMBROFLUX,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
AMBROL,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
AMBROXMEL,EXPECTORANTES BALSAMICOS E MUCOLITICO,CLORIDRATO DE AMBROXOL
AMENIFLAC,ANALGESICOS,PARACETAMOL
AMGEVITA,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE
AMICORED,VITAMINAS E SUPLEMENTOS MINERAIS,CIANOCOBALAMINA
AMINOFILINA,BRONCODILATADORES,AMINOFILINA
AMINOSTERIL N-HEPA 8%,NUTRIENTES PARENTERAIS,ACETATO DE LISINA +  ACETILCISTEÍNA +  ALANINA +  ARGININA +  FENILALAMINA +  GLICINA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  TREONINA +  TRIPTOFANO +  METIONINA (11 C)
AMINOVEN,NUTRIENTES PARENTERAIS,ACETATO DE LISINA +  ALANINA +  ARGININA +  FENILALANINA +  GLICINA +  HISTIDINA +  ISOLEUCINA +  L-ALANINA +  L-FENILALANINA +  L-HISTIDINA +  L-ISOLEUCINA +  L-LEUCINA +  L-METIONINA +  L-PROLINA +  L-SERINA +  L-TREONINA +  L-TRIPTOFANO +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  TAURINA +  TIROSINA +  TREONINA +  TRIPTOFANO
AMIOBAL,ANTIARRITMICOS,CLORIDRATO DE AMIODARONA
AMIORON,ANTIARRITMICOS,CLORIDRATO DE AMIODARONA
AMITIZA,OUTROS LAXANTES,LUBIPROSTONA
AMIXAL,NUTRIENTES PARENTERAIS,ACETATO DE LISINA +  ALANINA +  ARGININA +  FENILALANINA +  GLICINA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LISINA +  PROLINA +  SERINA +  TIROSINA +  TREONINA +  TRIPTOFANO +  VALINA +  LEVOMETIONINA +  METIONINA (11 C) +  ÁCIDO ASPÁRTICO +  ÁCIDO GLUTÂMICO
